No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
347,ML,4.95%,-2.92%,-47.52%,-76.54%,-77.38%,-42.18%,10.45%,7.75%,2.00,1.10M,0.35,2.34,0.43%,"120,342"
348,MMAT,27.61%,39.60%,-44.68%,-52.94%,-60.75%,-15.45%,14.26%,11.42%,1.50,6.53M,1.42,1.79,-13.70%,"2,863,740"
349,MNKD,-26.86%,-22.54%,-40.73%,-41.61%,-27.25%,-37.07%,8.82%,6.26%,1.70,2.90M,3.21,3.15,14.55%,"2,868,670"
350,MNMD,0.00%,11.54%,-41.12%,-58.42%,-66.86%,-15.94%,11.98%,12.31%,1.70,5.03M,0.40,1.17,0.86%,"612,224"
351,MOMO,-6.72%,7.39%,-20.67%,-25.84%,-41.23%,5.12%,6.99%,5.45%,2.40,2.23M,0.66,9.21,-2.44%,"455,539"
352,MOTS,6.51%,13.76%,-24.47%,-50.98%,-73.53%,-18.39%,9.86%,13.41%,1.50,1.76M,0.70,0.37,-2.41%,"380,172"
353,MRIN,-17.21%,-0.98%,-43.78%,-52.58%,55.38%,-18.33%,10.97%,8.40%,-,3.48M,0.17,3.02,-0.33%,"183,518"
354,MRSN,19.69%,8.33%,-29.52%,-65.74%,-75.64%,-24.76%,11.36%,9.90%,1.60,1.66M,0.40,4.63,-1.07%,"203,411"
355,MTCR,19.73%,1.62%,-58.84%,-83.22%,-94.27%,-21.86%,11.73%,10.76%,2.70,3.56M,0.36,0.50,-4.14%,"394,071"
356,MTEK,-16.49%,-,-,-,-,-48.57%,13.66%,-,-,3.21M,0.09,1.62,0.00%,"92,121"
357,MTTR,21.35%,-9.17%,-76.61%,-52.05%,-55.19%,-62.55%,11.98%,11.24%,1.80,11.51M,0.85,7.43,-3.91%,"3,011,396"
358,MULN,68.85%,-63.73%,-87.19%,-89.79%,-91.47%,-80.31%,57.90%,29.25%,-,25.80M,13.18,1.05,1.94%,"104,824,123"
359,MUX,2.12%,-6.01%,-23.69%,-32.39%,-31.80%,-13.06%,6.57%,5.51%,-,2.13M,1.48,0.77,-0.52%,"971,007"
360,MVIS,30.51%,53.19%,-39.24%,-70.25%,-74.51%,-13.77%,13.23%,10.59%,3.00,5.50M,0.96,4.22,-2.43%,"1,620,816"
361,MWA,-2.09%,-3.48%,-12.92%,-26.77%,-6.44%,-15.28%,3.76%,3.09%,2.90,1.13M,0.62,12.55,2.87%,"214,957"
362,NAK,18.59%,17.72%,-13.95%,-9.05%,-50.09%,13.43%,6.54%,6.32%,-,3.01M,1.83,0.36,-1.65%,"1,701,302"
363,NAT,49.35%,52.32%,24.32%,1.77%,-28.12%,36.09%,13.08%,7.43%,-,3.22M,2.50,2.29,-0.65%,"2,483,245"
364,NEPT,48.95%,30.25%,-22.25%,-38.79%,-74.78%,-1.59%,15.44%,9.86%,2.70,1.27M,1.27,0.40,-1.41%,"500,552"
365,NES,16.16%,27.16%,37.76%,-1.81%,-17.03%,-29.31%,9.35%,9.92%,-,2.98M,0.08,2.15,0.00%,0
366,NEX,9.39%,25.96%,103.49%,110.28%,61.75%,113.24%,7.33%,6.68%,1.90,2.94M,0.97,7.62,0.66%,"880,221"
367,NGD,-5.35%,15.69%,23.78%,47.50%,4.73%,18.00%,7.86%,6.13%,2.90,10.07M,1.19,1.71,-3.39%,"3,691,948"
368,NGL,11.56%,0.91%,9.90%,25.42%,-11.20%,21.98%,5.20%,7.25%,3.40,1.31M,0.81,2.26,1.80%,"325,279"
369,NILE,12.10%,11.86%,-48.70%,-63.06%,-76.50%,-22.40%,17.70%,11.34%,-,1.60M,0.58,0.92,-0.38%,"287,061"
370,NLSP,-4.17%,36.90%,-34.29%,-51.48%,-59.36%,3.60%,7.56%,8.98%,2.00,3.32M,0.02,1.19,3.90%,"19,003"
371,NMTR,-8.02%,-22.49%,-44.51%,-54.28%,-64.94%,-41.61%,5.16%,5.48%,1.70,1.60M,0.95,0.56,-2.76%,"468,668"
372,NNDM,-0.57%,2.97%,-27.71%,-43.39%,-63.89%,-8.68%,6.80%,6.05%,2.00,5.68M,0.75,3.43,-1.15%,"1,303,987"
373,NOG,12.05%,10.60%,22.37%,60.58%,101.41%,24.68%,6.16%,6.26%,1.70,1.05M,1.64,25.92,1.01%,"532,405"
374,NRXP,1.07%,-9.29%,-65.06%,-80.74%,-91.75%,-40.79%,8.49%,9.88%,-,1.22M,1.49,2.70,-4.76%,"558,301"
375,NTRB,-4.82%,-0.72%,-36.83%,-45.18%,-60.48%,-58.83%,10.65%,10.93%,2.00,2.97M,0.00,4.12,-0.72%,"3,335"
376,NURO,-2.57%,-4.36%,-41.68%,-69.96%,12.70%,-16.93%,8.62%,10.50%,2.00,1.37M,0.04,4.28,2.64%,"16,240"
377,NUVB,-2.20%,-15.98%,-45.12%,-48.09%,-54.97%,-42.47%,10.12%,6.39%,1.50,1.17M,1.13,4.95,1.23%,"407,315"
378,NVCT,7.08%,-,-,-,-,109.54%,15.34%,-,-,5.12M,0.08,6.94,1.91%,"127,982"
379,NVTS,3.08%,3.42%,-48.69%,-6.11%,-7.86%,-44.86%,7.36%,8.70%,1.80,1.51M,0.63,9.46,0.87%,"295,106"
