No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
176,DS,1.65%,-4.65%,-34.92%,-52.87%,-52.33%,-13.99%,7.44%,7.69%,1.70,1.43M,0.57,1.26,2.85%,"250,574"
177,DSS,15.44%,22.38%,-48.19%,-64.62%,-87.27%,-35.24%,30.82%,14.16%,2.00,1.05M,1.26,0.45,3.12%,"407,178"
178,DVAX,-0.49%,-3.10%,-24.02%,-32.50%,41.32%,-13.22%,8.41%,5.79%,1.70,1.87M,0.56,12.44,1.88%,"323,456"
179,EAR,0.42%,5.71%,-10.59%,-76.50%,-92.04%,-5.69%,6.24%,6.73%,3.30,3.54M,0.12,4.88,1.35%,"128,515"
180,EAT,-3.92%,24.88%,13.95%,-23.76%,-43.93%,8.50%,5.74%,5.64%,2.20,1.15M,0.70,41.24,3.88%,"246,827"
181,EBON,0.00%,44.83%,-17.65%,-50.00%,-82.57%,22.33%,10.86%,14.37%,-,3.36M,0.47,1.26,0.40%,"488,901"
182,ECOR,1.89%,-14.03%,-25.72%,-47.11%,-78.17%,-5.56%,12.61%,9.14%,2.00,2.29M,0.11,0.55,-0.93%,"74,331"
183,EDIT,16.52%,0.34%,-44.05%,-71.70%,-61.72%,-34.12%,11.40%,8.46%,2.60,1.90M,0.95,17.41,-0.49%,"553,912"
184,EFOI,0.00%,-15.38%,-42.61%,-60.00%,-74.86%,-69.09%,11.08%,9.77%,2.00,4.97M,0.03,1.34,1.52%,"38,456"
185,EGHT,2.88%,-11.81%,-41.14%,-46.50%,-62.70%,-23.33%,6.29%,5.94%,2.20,1.83M,0.28,12.57,-2.18%,"158,395"
186,EGO,4.52%,32.94%,25.17%,32.48%,3.47%,21.28%,5.35%,4.40%,-,2.38M,1.65,11.05,-2.56%,"1,207,731"
187,EJH,12.73%,-11.56%,-71.11%,-82.04%,-,-56.08%,10.73%,11.19%,-,1.68M,0.91,0.64,-1.55%,"471,414"
188,ENDP,-19.93%,-21.75%,-58.73%,4.78%,-66.67%,-35.90%,11.44%,7.22%,3.00,4.85M,2.44,2.35,-2.49%,"3,650,765"
189,ENSC,20.00%,-24.55%,-20.75%,-58.96%,-92.70%,-73.19%,13.41%,10.33%,-,7.51M,0.08,1.23,-2.38%,"188,327"
190,ENSV,101.71%,81.54%,8.26%,0.00%,-42.72%,38.34%,38.17%,16.12%,2.00,1.36M,3.22,1.13,-3.81%,"1,345,555"
191,ENVB,17.20%,-48.32%,-77.54%,-83.77%,-91.36%,-66.67%,18.66%,10.77%,2.00,2.07M,5.06,0.29,-6.77%,"3,232,216"
192,EPZM,1.92%,50.00%,-50.31%,-68.01%,-83.35%,-36.40%,14.61%,11.68%,2.00,3.02M,0.47,1.62,2.20%,"437,495"
193,EQRX,1.03%,-30.33%,-70.45%,-70.18%,-,-56.89%,7.83%,10.63%,-,1.01M,0.85,2.90,-1.36%,"265,117"
194,ESPR,-1.61%,5.41%,-50.58%,-66.67%,-84.55%,-14.20%,8.70%,7.87%,2.80,2.06M,0.35,4.29,0.00%,"223,001"
195,ESRT,0.11%,4.35%,-1.27%,-8.41%,-16.80%,5.17%,3.50%,3.05%,2.70,2.21M,0.29,9.53,1.87%,"195,721"
196,ESSC,0.96%,1.74%,-0.85%,3.45%,5.00%,-11.17%,2.35%,2.47%,-,1.15M,0.07,10.53,0.29%,"23,702"
197,EVFM,3.12%,18.81%,16.05%,-36.26%,-87.37%,32.89%,11.06%,8.48%,2.20,4.04M,0.48,0.49,-2.59%,"592,259"
198,EXK,13.56%,35.55%,-1.47%,2.40%,-25.32%,11.14%,7.91%,5.69%,-,2.70M,1.99,4.53,-3.41%,"1,655,474"
199,EXPR,4.86%,56.21%,18.59%,-23.48%,70.94%,47.08%,8.59%,8.02%,3.00,3.43M,0.69,4.84,6.73%,"734,663"
200,EXTN,5.39%,19.53%,69.27%,52.64%,13.06%,103.36%,4.30%,4.82%,2.00,1.61M,0.23,6.23,2.84%,"116,462"
201,EXTR,-4.70%,-9.36%,-18.72%,-0.18%,20.48%,-30.32%,6.85%,4.59%,2.20,1.39M,1.80,11.44,4.57%,"768,860"
202,FAMI,-2.22%,-12.18%,-31.52%,-55.91%,-86.87%,-20.86%,13.53%,7.75%,-,30.84M,2.73,0.19,5.57%,"25,967,534"
203,FAX,-1.67%,-3.29%,-13.48%,-16.75%,-20.14%,-7.59%,2.71%,1.97%,-,1.21M,1.00,3.53,-0.14%,"370,881"
204,FFIE,7.31%,41.04%,-11.27%,-42.84%,-61.68%,2.07%,12.29%,10.78%,2.30,1.51M,1.19,5.32,-2.03%,"550,576"
205,FGEN,-5.68%,-6.07%,13.31%,18.43%,-73.05%,-3.40%,6.42%,5.45%,2.90,1.13M,0.58,13.74,0.88%,"200,072"
206,FGI,-1.58%,-17.24%,-,-,-,-20.00%,6.14%,10.21%,-,2.86M,0.02,3.16,1.28%,"17,991"
207,FINV,-7.71%,8.82%,-32.94%,-33.16%,-25.89%,-19.88%,5.39%,4.75%,2.00,1.16M,0.42,3.88,-1.65%,"148,870"
208,FLDM,6.07%,15.41%,-18.63%,-49.10%,-15.44%,-6.38%,7.41%,7.68%,1.00,1.03M,0.18,3.63,-0.95%,"55,777"
209,FLGC,5.41%,33.56%,-9.72%,-79.17%,-,9.55%,9.74%,9.41%,2.00,1.23M,0.52,1.99,2.05%,"197,051"
210,FLWS,0.34%,-11.75%,-52.86%,-53.84%,-46.56%,-36.20%,7.28%,6.05%,1.70,1.08M,0.68,15.59,4.56%,"224,214"
211,FREY,5.85%,10.51%,-17.97%,1.23%,-13.33%,-19.14%,9.36%,7.39%,2.10,1.36M,0.55,8.97,-0.77%,"230,009"
212,FRO,12.65%,43.74%,43.74%,30.91%,33.66%,34.79%,5.32%,4.15%,2.00,2.00M,3.10,9.03,-5.19%,"1,912,037"
213,FSM,15.54%,26.23%,17.53%,-5.32%,-44.73%,4.87%,7.12%,5.44%,-,4.68M,1.66,3.95,-3.42%,"2,389,242"
214,FTCI,28.89%,24.06%,-46.30%,-57.20%,-,-38.62%,12.96%,9.73%,1.90,1.06M,1.47,4.25,-8.41%,"479,326"
215,FTFT,11.79%,21.45%,-48.43%,-68.22%,-85.49%,-38.35%,9.30%,9.70%,-,2.53M,0.12,0.79,-3.65%,"95,733"
216,FTK,-0.71%,84.06%,78.00%,1.46%,-38.22%,23.01%,12.19%,18.99%,2.50,3.61M,0.64,1.46,5.04%,"714,040"
217,FUBO,5.74%,-13.92%,-59.16%,-69.24%,-79.78%,-45.43%,14.19%,10.42%,2.10,10.26M,0.82,8.39,-0.94%,"2,580,548"
218,GATO,16.35%,20.92%,-71.88%,-73.57%,-73.25%,-64.35%,7.01%,7.89%,2.20,1.54M,0.77,3.68,-0.54%,"366,010"
219,GBS,60.39%,-22.47%,-57.41%,-79.65%,-91.38%,-51.92%,37.42%,19.14%,-,1.86M,5.52,0.69,-0.35%,"3,159,311"
220,GBT,-4.32%,8.94%,6.75%,6.37%,-32.16%,2.05%,8.12%,6.52%,1.90,1.63M,0.31,29.57,-1.00%,"153,930"
221,GCI,-15.76%,-2.72%,-7.92%,-27.57%,-14.84%,-12.76%,8.13%,5.54%,4.30,1.83M,0.72,4.84,4.09%,"403,291"
222,GENI,0.00%,-9.86%,-47.11%,-73.04%,-72.76%,-30.26%,10.61%,8.46%,1.90,1.96M,0.40,5.23,-1.32%,"238,603"
223,GEO,-7.40%,-11.25%,-32.39%,-24.31%,-22.68%,-25.68%,4.20%,3.86%,2.50,2.77M,0.55,5.87,1.93%,"465,513"
224,GERN,3.88%,0.00%,-26.21%,-25.69%,-39.89%,-12.30%,6.93%,5.62%,1.60,2.13M,0.54,1.08,1.12%,"356,572"
225,GEVO,19.27%,19.27%,-37.89%,-40.95%,-61.23%,-16.12%,11.01%,9.32%,1.70,8.71M,0.77,3.57,-0.70%,"2,063,002"
226,GFAI,36.20%,-19.54%,-59.31%,-,-,-45.37%,42.84%,22.50%,-,4.38M,1.81,0.60,1.83%,"2,439,551"
227,GGPI,-4.99%,5.44%,-23.03%,10.48%,-,-7.18%,4.72%,4.24%,-,3.71M,0.64,10.95,0.84%,"731,850"
228,GHSI,44.40%,-44.22%,-72.82%,-77.05%,-88.80%,-56.73%,21.98%,14.01%,-,2.41M,99.01,0.27,-3.54%,"73,660,777"
229,GLG,18.56%,4.70%,-53.06%,-72.86%,-89.84%,-41.99%,16.12%,17.23%,-,1.05M,1.92,0.24,0.83%,"622,494"
230,GLNG,14.00%,23.35%,46.83%,57.48%,58.33%,41.97%,6.32%,4.75%,2.00,1.04M,1.83,17.95,2.05%,"584,763"
231,GMBL,-71.64%,-68.92%,-83.74%,-90.46%,-95.74%,-76.00%,39.80%,17.28%,1.80,1.10M,1.52,0.80,-4.93%,"515,315"
232,GMDA,17.92%,27.99%,38.89%,-17.58%,-59.94%,47.64%,12.53%,10.99%,1.90,1.03M,0.69,3.62,-3.33%,"218,287"
233,GMTX,-13.09%,-27.65%,-53.08%,-68.18%,-91.91%,-55.50%,11.66%,9.86%,1.20,1.26M,1.38,1.30,0.51%,"538,087"
234,GMVD,28.64%,-48.94%,20.45%,-20.90%,390.74%,58.68%,18.50%,15.57%,-,2.08M,0.25,2.74,3.39%,"159,139"
235,GNLN,-3.68%,-15.11%,-55.16%,-79.04%,-90.42%,-43.26%,14.86%,12.17%,1.50,1.13M,0.41,0.54,-1.96%,"141,912"
236,GNPX,6.07%,24.04%,51.33%,-25.82%,-59.75%,73.28%,9.41%,8.14%,2.00,6.47M,0.30,2.29,0.88%,"595,288"
237,GNUS,-0.92%,8.06%,-31.58%,-46.21%,-48.16%,-18.54%,7.66%,7.37%,2.00,5.16M,0.46,0.86,0.88%,"731,775"
238,GOCO,1.53%,-23.75%,-41.98%,-60.04%,-85.35%,-47.49%,13.68%,13.43%,2.30,3.09M,9.27,1.38,-30.65%,"8,820,841"
239,GOED,0.00%,-10.48%,-15.70%,-31.64%,-84.27%,-21.67%,7.87%,6.76%,2.00,2.14M,0.51,1.88,-0.27%,"337,514"
240,GOEV,1.48%,1.48%,-57.56%,-23.17%,-60.59%,-29.15%,9.22%,7.97%,2.50,3.34M,0.67,5.35,-2.19%,"688,564"
241,GOL,-13.42%,0.48%,14.49%,-18.56%,-13.90%,4.46%,5.52%,4.75%,2.60,2.16M,0.73,6.50,2.85%,"488,693"
242,GORO,2.91%,14.94%,-8.29%,3.51%,-35.64%,13.46%,6.41%,5.50%,2.00,1.19M,0.92,1.76,-0.72%,"336,046"
243,GOTU,-17.82%,-3.49%,-39.86%,-38.29%,-98.31%,-14.43%,10.75%,10.46%,3.10,5.92M,0.88,1.62,-2.11%,"1,598,902"
244,GPL,6.81%,19.74%,-13.50%,-56.16%,-75.66%,3.79%,8.54%,8.16%,2.00,3.34M,1.35,0.22,-1.85%,"1,391,022"
245,GPRO,-1.42%,-1.76%,-19.07%,-15.21%,3.21%,-18.91%,5.22%,4.40%,2.60,2.75M,0.97,8.65,3.47%,"821,803"
